Disease,Symptoms,Remedy,Usage
Indigestion,"Itching, redness, inflammation","Guggul, Triphala, Honey","Neem paste on affected area, turmeric in warm milk"
Eye Problems,"Hard stool, bloating","Ajwain, Ginger, Lemon","Fennel tea after meals, amla juice"
Hypertension,"Stress, sinus, tension","Giloy, Tulsi, Ginger",Decoction twice daily
Headache,"Anxiety, restlessness","Ajwain, Ginger, Lemon",Decoction twice daily
Arthritis,"Joint pain, swelling","Amla, Bhringraj, Coconut Oil","Ajwain with warm water after meals, ginger tea"
Hairfall,"Blurred vision, eye strain","Brahmi, Ashwagandha, Shankhpushpi",Juice or tea after meals
Acidity,"Severe headache, nausea","Mulethi (Licorice), Honey, Ginger",Juice or decoction once daily
Eye Problems,"Weak roots, dandruff, dryness","Tulsi, Ginger, Honey, Black Pepper","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Obesity,"Overweight, fatigue","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or decoction once daily
Constipation,"Runny nose, sore throat, sneezing, cough","Bael Fruit, Pomegranate, Ginger",Tulsi tea with ginger & honey twice daily
Indigestion,Dry or wet cough,"Guggul, Triphala, Honey","Fennel tea after meals, amla juice"
Stress,"Severe headache, nausea","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or powder in warm water
Cough,"Irregular periods, cramps","Amla, Bhringraj, Coconut Oil",Juice or powder in warm water
Diabetes,"Breathlessness, chest tightness","Ginger Oil, Turmeric, Eucalyptus Oil",Juice or powder in warm water
Acidity,"Itching, redness, inflammation","Guggul, Triphala, Honey",Juice or tea after meals
Asthma,"Overweight, fatigue","Triphala, Isabgol, Warm Water",Juice or decoction once daily
Acidity,"Irregular periods, cramps","Peppermint, Ginger, Coriander",Herbal capsule or tea twice daily
Back Pain,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera",Tulsi tea with ginger & honey twice daily
Menstrual Problems,"Anxiety, restlessness","Triphala, Amla, Honey","Ajwain with warm water after meals, ginger tea"
Diarrhea,"Itching, redness, inflammation","Garlic, Arjuna, Amla",Oil massage and warm compress
Headache,"Blurred vision, eye strain","Vasaka, Tulsi, Ginger","Ajwain with warm water after meals, ginger tea"
Acidity,"High blood pressure, headache","Bael Fruit, Pomegranate, Ginger",Decoction twice daily
Asthma,"Loose motion, dehydration","Tulsi, Ginger, Honey, Black Pepper",Oil massage and warm compress
Cough,"Loose motion, dehydration","Ashoka, Lodhra, Aloe Vera",Juice with honey twice daily
Indigestion,"Burning sensation, chest pain, bloating","Amla, Bhringraj, Coconut Oil",Juice or powder in warm water
Common Cold,"High temperature, body pain, weakness","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Back Pain,"Severe headache, nausea","Peppermint, Ginger, Coriander","Fennel tea after meals, amla juice"
Hairfall,"Loose motion, dehydration","Ashoka, Lodhra, Aloe Vera",Triphala powder at night with warm water
Headache,Dry or wet cough,"Mulethi (Licorice), Honey, Ginger",Juice with honey twice daily
Constipation,"Severe headache, nausea","Fennel Seeds, Amla, Mint","Jamun seed powder with water, methi overnight water"
Asthma,"High temperature, body pain, weakness","Guggul, Triphala, Honey",Mulethi powder with honey twice daily
Eye Problems,"Bloating, gas, stomach ache, acidity","Bael Fruit, Pomegranate, Ginger",Oil massage and warm compress
Common Cold,"Hard stool, bloating","Giloy, Tulsi, Ginger",Herbal capsule or tea twice daily
Diabetes,"Lower back pain, stiffness","Fennel Seeds, Amla, Mint","Amla juice daily, bhringraj oil scalp massage"
Skin Allergy,Dry or wet cough,"Vasaka, Tulsi, Ginger",Juice or tea after meals
Cough,"Hard stool, bloating","Bael Fruit, Pomegranate, Ginger",Herbal tea twice daily
Obesity,"Anxiety, restlessness","Garlic, Arjuna, Amla","Amla juice daily, bhringraj oil scalp massage"
